id,message
80,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/GluGluToHiggs0PL1ToZZTo4mu_M125_GaSM_13TeV_MCFM701_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/270000/7CD9378C-5B13-F04D-AB0C-8E157F9759B3.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
81,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/HToZdZdTo4L_M125_MZd15_eps2e-2_kap1e-4_TuneCP5_13TeV_madgraph_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/50000/CEABB737-7235-2E48-B418-7168684B49E9.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
82,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/HeavyNeutrino_trilepton_M-10_V-0_00107238052948_e_Dirac_massiveAndCKM_LO/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/50000/DD830A8F-B7E9-2446-9290-3105B3CC9046.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
83,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/HeavyNeutrino_trilepton_M-2_V-0_0110905365064_e_massiveAndCKM_LO/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/10000/50F0F052-962F-EC45-9031-14550B50A0D5.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
84,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/MadGraphChargedResonance_WGToLNuG_M1800_width5/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/120000/AD2C7A94-6E3C-2F4D-842C-F9407339E015.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
85,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/QCD_Pt_15to20_bcToE_TuneCP5_13TeV_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/260000/4F8B3560-290E-1A43-8B53-E91A455BA55A.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
86,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/RadionTohhTohbbhbb_narrow_M-1400_TuneCP2_PSweights_13TeV-madgraph_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v16-v1/110000/89145551-B29C-7042-8AAE-C60D78A1ED7C.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
87,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/SMS-T2tt_3J_xqcut-20_top-corridor_2Lfilter_TuneCP5_13TeV-madgraphMLM-pythia8/NANOAODSIM/Nano1June2019_GridpackScan_102X_upgrade2018_realistic_v19-v1/50000/437168F2-1884-FF4D-9DD1-25BB2ECD4D06.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
88,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/100000/124F5B62-D4DF-7242-A810-371C8DC2E146.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
89,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/ST_t-channel_top_5f_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/100000/51B06CA8-A6AC-2940-A2DA-0BCFC6BDF322.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
90,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/SUSYGluGluToBBHToTauTau_M-350_TuneCP5_13TeV-amcatnlo-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/250000/AE68D102-AF82-2341-87A1-E15A595027DF.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
91,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/THQ_ctcvcp_HToGG_M125_TuneCP5_13TeV-madgraph-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/270000/E48B71B1-7D18-2A43-ACC1-E37A5A100457.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
92,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/TTToHadronic_hdampUP_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/250000/FB9069FE-0608-C14F-A7D0-69E96D2090B5.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
93,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/VBFHToTauTau_HTXSFilter_STXS1p1_Bin207to210_M125_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/130000/66DEC958-EFE1-2F4F-AC85-8A51788200F1.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
94,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/VBFHiggs0Mf05ph0ToTauTau_M125_13TeV_JHUGenV7011_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v2/260000/53DFA47A-3520-8A41-BE11-C3FFD5DBAA3B.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
95,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/VBFToHiggs0Mf025ph0ToZZTo4l_M125_GaSM_13TeV_JHUGenV730_MCFM701_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/270000/1C6BA190-16B4-664C-AD60-255B251946B3.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
96,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/VBF_WprimeWhToWhadhbb_narrow_M-4000_TuneCP5_13TeV-madgraph/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/100000/638CA686-1DC4-2A47-85A7-19D4216861F6.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
97,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/WHiggs0PHToTauTau_M125_13TeV_JHUGenV7011_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v2/50000/AD839724-89CA-EE41-9BDE-928C2F0C65EB.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
98,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/100000/91BBFE46-1900-5241-BF01-B39A086821E7.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
99,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/WWJTo2L2Nu_NNLOPS_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/270000/726E4C4F-0911-3342-BF00-5D9BDE8E8168.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
100,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/WpToBpT_Wp3500Nar_Bp2300Wid_Zt_TuneCP5_13TeV-madgraphMLM-pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19-v1/40000/4FF4B695-98DA-FE4B-9FE7-4ED19E42A6FF.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
101,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIAutumn18NanoAODv5/ZH_HToBB_ZToBB_M125_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano1June2019_102X_upgrade2018_realistic_v19_ext1-v1/30000/25FB35C5-23B6-5A48-BEC3-DDCE62290556.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
102,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/ADDGravToGG_NegInt-1_LambdaT-6000_M-500To1000_TuneCP2_13TeV-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/260000/EE45E406-E040-E044-A410-2626632A1F23.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
103,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/DYJetsToLL_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/250000/3EEE5EFF-429A-1C41-8821-2A06F1ABFCF6.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
104,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/DYJetsToLL_M-105To160_TuneCP5_PSweights_13TeV-amcatnloFXFX-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/120000/20B65B21-A993-F24F-9EA3-C63E45B543A5.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
105,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/DiPhotonJetsBox_MGG-80toInf_13TeV-Sherpa/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/110000/31B16E75-D997-BC40-9996-855C79D492C3.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
106,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/GluGluHToCC_M125_13TeV_powheg_pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7_ext1-v1/40000/CDF00F36-D6A4-0B4C-BA66-E7822BF6E4AB.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
107,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/GluGluSpin0ToGammaGamma_W_5p6_M_5000_TuneCP2_13TeV_pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/130000/2AE7979C-15EF-714B-8115-958A07FFEE40.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
108,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-500_narrow_13TeV-madgraph_correctedcfg/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/100000/F63ACB0A-29CF-EE4E-A7DB-6FB3294967FC.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
109,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/GluGluToHiggs0PL1f05ph0continToZZTo4mu_M125_GaSM_13TeV_MCFM701_pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7_ext1-v1/270000/BABD7C07-B37F-AE40-8C29-2AB43B253021.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
110,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/GluGluToHiggs0PMToZZTo4e_M125_GaSM_13TeV_MCFM701_pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7_ext1-v1/260000/9B3A7F01-9414-7D4D-A7A5-C464B1CFF707.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
111,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/RPV_2t6j_mStop-750_mN1-100_TuneCP2_13TeV-madgraphMLM-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7_ext1-v1/00000/C5652CDD-FEBF-6246-B094-62FE86FA3F47.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
112,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/ST_t-channel_top_4f_InclusiveDecays_TuneCP5up_PSweights_13TeV-powheg-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/250000/9DBDF79B-91DA-4A44-9F27-791878A62193.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
113,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/ST_tW_top_5f_inclusiveDecays_mtop1715_TuneCP5_PSweights_13TeV-powheg-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/40000/46972E48-3057-8049-AB59-EC4210E29E37.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
114,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/ST_tW_top_5f_inclusiveDecays_mtop1715_TuneCP5_PSweights_13TeV-powheg-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/40000/CBFCBB96-6F34-D04D-AB75-A0A47CFDCE27.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
115,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/SigmaB1_Lbpipi_LbToPsiLambda_JMM_NoFilter_DGamma0_TuneCP5_13TeV-pythia8-evtgen/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/250000/59FBFCBE-1832-6B44-947F-455729565FE2.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
116,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/TTGamma_SingleLept_TuneCP5_erdON_PSweights_13TeV-madgraph-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/270000/E8932BB3-3590-6045-85F9-506CDF69B882.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
117,DESTINATION SRM_PUTDONE Error on the surl srm://srm-cms.gridpp.rl.ac.uk/castor/ads.rl.ac.uk/prod/cms/store/test/rucio/cms//store/mc/RunIIFall17NanoAODv5/TTJets_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8/NANOAODSIM/PU2017_12Apr2018_Nano1June2019_102X_mc2017_realistic_v7-v1/120000/6168B89A-FD4A-3040-A4EE-2DDE605AAD61.root while putdone : [SE][PutDone][SRM_INVALID_PATH] This SURL does not exist in the original request
